Date,Open,High,Low,Close,Adj Close,Volume
2014-07-21,2.500000,2.650000,2.500000,2.625000,2.625000,26830
2014-07-22,2.625000,2.625000,2.625000,2.625000,2.625000,0
2014-07-23,2.500000,2.695000,2.500000,2.625000,2.625000,82176
2014-07-24,2.625000,2.625000,2.625000,2.625000,2.625000,0
2014-07-25,2.500000,2.500000,2.500000,2.625000,2.625000,25950
2014-07-28,2.625000,2.625000,2.500000,2.625000,2.625000,22622
2014-07-29,2.625000,2.625000,2.625000,2.625000,2.625000,0
2014-07-30,2.625000,2.625000,2.625000,2.625000,2.625000,0
2014-07-31,2.500000,2.500000,2.500000,2.625000,2.625000,41090
2014-08-01,2.625000,2.625000,2.625000,2.625000,2.625000,0
2014-08-04,2.613000,2.613000,2.613000,2.625000,2.625000,92440
2014-08-05,2.500000,2.500000,2.500000,2.500000,2.500000,150000
2014-08-06,2.260000,2.400000,2.042000,2.375000,2.375000,1118407
2014-08-07,2.400000,2.400000,2.250000,2.375000,2.375000,91705
2014-08-08,2.500000,2.700000,2.500000,2.750000,2.750000,75378
2014-08-11,2.600000,2.675000,2.500000,2.625000,2.625000,646846
2014-08-12,2.650000,2.650000,2.500000,2.625000,2.625000,69130
2014-08-13,2.850000,3.250000,2.750000,3.125000,3.125000,865572
2014-08-14,3.000000,3.140000,2.820000,3.000000,3.000000,374195
2014-08-15,2.762000,3.001000,2.750000,3.000000,3.000000,233613
2014-08-18,3.000000,3.000000,2.750000,2.875000,2.875000,41372
2014-08-19,2.875000,2.875000,2.875000,2.875000,2.875000,0
2014-08-20,2.925000,2.990000,2.630000,2.875000,2.875000,218580
2014-08-21,2.910000,2.910000,2.910000,2.875000,2.875000,51829
2014-08-22,2.900000,2.900000,2.900000,2.875000,2.875000,17241
2014-08-26,2.750000,2.900000,2.750000,2.875000,2.875000,24572
2014-08-27,2.875000,2.875000,2.875000,2.875000,2.875000,0
2014-08-28,2.750000,2.750000,2.750000,2.875000,2.875000,55555
2014-08-29,2.875000,2.875000,2.750000,2.875000,2.875000,122941
2014-09-01,2.820000,2.820000,2.750000,2.875000,2.875000,74373
2014-09-02,2.750000,2.750000,2.750000,2.750000,2.750000,29000
2014-09-03,2.700000,2.700000,2.700000,2.625000,2.625000,38350
2014-09-04,2.750000,2.750000,2.750000,2.625000,2.625000,30495
2014-09-05,2.750000,2.750000,2.750000,2.625000,2.625000,108332
2014-09-08,2.560000,2.660000,2.560000,2.625000,2.625000,43494
2014-09-09,2.660000,2.660000,2.660000,2.750000,2.750000,500
2014-09-10,2.660000,2.660000,2.660000,2.750000,2.750000,10000
2014-09-11,2.900000,2.900000,2.900000,2.750000,2.750000,66335
2014-09-12,2.605000,2.660000,2.605000,2.750000,2.750000,15029
2014-09-15,2.750000,2.750000,2.750000,2.750000,2.750000,0
2014-09-16,2.610000,2.750000,2.610000,2.625000,2.625000,140222
2014-09-17,2.660000,2.660000,2.583000,2.625000,2.625000,5096
2014-09-18,3.050000,3.093000,2.583000,2.875000,2.875000,70856
2014-09-19,2.875000,2.875000,2.875000,2.875000,2.875000,0
2014-09-22,2.875000,2.875000,2.875000,2.875000,2.875000,0
2014-09-23,2.560000,3.100000,2.560000,3.125000,3.125000,1146907
2014-09-24,3.000000,3.160000,2.760000,3.000000,3.000000,982066
2014-09-25,3.000000,3.070000,2.770000,3.000000,3.000000,42364
2014-09-26,2.875000,2.910000,2.750000,2.875000,2.875000,143728
2014-09-29,2.875000,4.150000,2.800000,3.625000,3.625000,587778
2014-09-30,3.750000,3.825000,3.260000,3.500000,3.500000,3228248
2014-10-01,3.500000,3.550000,3.125000,3.375000,3.375000,138263
2014-10-02,3.625000,3.625000,2.800000,3.000000,3.000000,242132
2014-10-03,3.000000,3.100000,2.500000,2.625000,2.625000,1669654
2014-10-06,2.625000,2.680000,2.510000,2.625000,2.625000,167212
2014-10-07,2.560000,2.560000,2.560000,2.625000,2.625000,52000
2014-10-08,2.500000,2.500000,2.450000,2.500000,2.500000,257526
2014-10-09,2.280000,2.550000,2.280000,2.375000,2.375000,87731
2014-10-10,2.500000,2.500000,2.320000,2.625000,2.625000,306833
2014-10-13,2.325000,2.750000,2.325000,2.500000,2.500000,215254
2014-10-14,2.500000,2.490000,2.350000,2.500000,2.500000,39463
2014-10-15,2.500000,2.500000,2.320000,2.375000,2.375000,341310
2014-10-16,2.490000,2.490000,2.250000,2.375000,2.375000,40755
2014-10-17,2.375000,2.375000,2.375000,2.375000,2.375000,0
2014-10-20,2.375000,2.450000,2.250000,2.375000,2.375000,24500
2014-10-21,2.375000,2.375000,2.375000,2.375000,2.375000,0
2014-10-22,2.250000,2.250000,2.250000,2.375000,2.375000,18000
2014-10-23,2.440000,2.440000,2.275000,2.500000,2.500000,13301
2014-10-24,2.585000,2.585000,2.585000,2.500000,2.500000,3500
2014-10-27,2.275000,2.280000,2.275000,2.375000,2.375000,20000
2014-10-28,2.375000,2.375000,2.375000,2.375000,2.375000,0
2014-10-29,2.263000,2.440000,2.263000,2.500000,2.500000,42929
2014-10-30,2.000000,2.300000,2.000000,2.375000,2.375000,110827
2014-10-31,2.375000,2.440000,2.250000,2.500000,2.500000,144000
2014-11-03,2.260000,2.425000,2.260000,2.375000,2.375000,34208
2014-11-04,2.375000,2.375000,2.375000,2.375000,2.375000,0
2014-11-05,2.375000,2.375000,2.375000,2.375000,2.375000,0
2014-11-06,2.375000,2.425000,2.250000,2.375000,2.375000,48084
2014-11-07,2.375000,2.375000,2.375000,2.375000,2.375000,0
2014-11-10,2.415000,2.415000,2.250000,2.375000,2.375000,34096
2014-11-11,2.410000,2.410000,2.250000,2.375000,2.375000,70512
2014-11-12,2.250000,2.250000,2.000000,2.250000,2.250000,188627
2014-11-13,2.050000,2.050000,2.050000,2.250000,2.250000,15008
2014-11-14,2.050000,2.300000,2.050000,2.250000,2.250000,20493
2014-11-17,2.053000,2.300000,2.053000,2.250000,2.250000,28766
2014-11-18,2.250000,2.250000,2.250000,2.250000,2.250000,0
2014-11-19,2.065000,2.150000,1.750000,2.000000,2.000000,299420
2014-11-20,2.150000,2.150000,1.815000,2.125000,2.125000,162667
2014-11-21,1.863000,1.863000,1.863000,1.875000,1.875000,27903
2014-11-24,1.875000,1.900000,1.700000,1.875000,1.875000,1067238
2014-11-25,1.875000,1.900000,1.500000,1.625000,1.625000,714982
2014-11-26,1.625000,1.625000,1.625000,1.625000,1.625000,0
2014-11-27,1.625000,1.875000,1.750000,1.750000,1.750000,327023
2014-11-28,1.600000,1.870000,1.600000,1.625000,1.625000,152416
2014-12-01,1.740000,1.950000,1.740000,1.750000,1.750000,178342
2014-12-02,1.750000,1.750000,1.750000,1.750000,1.750000,50000
2014-12-03,1.625000,1.625000,1.625000,1.625000,1.625000,0
2014-12-04,1.750000,1.950000,1.750000,1.875000,1.875000,52424
2014-12-05,1.750000,1.940000,1.125000,1.625000,1.625000,1165000
2014-12-08,1.588000,1.588000,1.480000,1.500000,1.500000,334260
2014-12-09,1.625000,1.625000,1.625000,1.625000,1.625000,0
2014-12-10,1.625000,1.330000,1.310000,1.500000,1.500000,223663
2014-12-11,1.375000,1.375000,1.375000,1.375000,1.375000,0
2014-12-12,1.375000,1.375000,1.375000,1.375000,1.375000,0
2014-12-15,1.375000,1.375000,1.375000,1.375000,1.375000,0
2014-12-16,1.250000,1.250000,1.250000,1.375000,1.375000,8500
2014-12-17,1.375000,1.375000,1.375000,1.375000,1.375000,0
2014-12-18,1.250000,1.250000,1.250000,1.375000,1.375000,25000
2014-12-19,1.390000,1.600000,1.390000,1.500000,1.500000,199120
2014-12-22,1.500000,1.500000,1.500000,1.500000,1.500000,0
2014-12-23,1.500000,1.500000,1.500000,1.500000,1.500000,0
2014-12-24,null,null,null,null,null,null
2014-12-29,1.500000,1.500000,1.500000,1.500000,1.500000,0
2014-12-30,1.260000,1.260000,1.260000,1.500000,1.500000,5000
2014-12-31,null,null,null,null,null,null
2015-01-02,1.750000,1.750000,1.750000,1.500000,1.500000,49857
2015-01-05,1.375000,1.375000,1.375000,1.500000,1.500000,35000
2015-01-06,1.500000,1.500000,1.500000,1.500000,1.500000,0
2015-01-07,1.650000,1.650000,1.650000,1.500000,1.500000,20000
2015-01-08,1.500000,1.500000,1.500000,1.500000,1.500000,0
2015-01-09,1.380000,1.380000,1.250000,1.500000,1.500000,304428
2015-01-12,1.310000,1.310000,1.250000,1.375000,1.375000,86046
2015-01-13,1.250000,1.390000,1.250000,1.375000,1.375000,382801
2015-01-14,1.125000,1.125000,1.125000,1.375000,1.375000,75000
2015-01-15,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-01-16,1.250000,1.253000,1.250000,1.375000,1.375000,76617
2015-01-19,1.350000,1.350000,1.350000,1.375000,1.375000,35000
2015-01-20,1.350000,1.350000,1.253000,1.375000,1.375000,155027
2015-01-21,1.253000,1.253000,1.253000,1.375000,1.375000,11188
2015-01-22,1.350000,1.350000,1.350000,1.375000,1.375000,5000
2015-01-23,1.253000,1.350000,1.253000,1.375000,1.375000,93148
2015-01-26,1.385000,1.400000,1.385000,1.500000,1.500000,104146
2015-01-27,1.275000,1.275000,1.275000,1.375000,1.375000,275027
2015-01-28,1.253000,1.253000,1.253000,1.375000,1.375000,17412
2015-01-29,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-01-30,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-02-02,1.455000,1.455000,1.245000,1.375000,1.375000,119576
2015-02-03,1.220000,1.320000,1.031000,1.250000,1.250000,760026
2015-02-04,1.300000,1.300000,1.300000,1.250000,1.250000,50000
2015-02-05,1.400000,1.400000,1.253000,1.375000,1.375000,50470
2015-02-06,1.390000,1.390000,1.390000,1.375000,1.375000,20000
2015-02-09,1.375000,1.375000,1.375000,1.375000,1.375000,0
2015-02-10,1.245000,1.245000,1.125000,1.250000,1.250000,139195
2015-02-11,1.500000,1.500000,1.500000,1.250000,1.250000,2319
2015-02-12,1.250000,1.250000,1.250000,1.250000,1.250000,0
2015-02-13,1.030000,1.400000,1.030000,1.250000,1.250000,211000
2015-02-16,1.130000,1.130000,1.130000,1.250000,1.250000,20000
2015-02-17,1.370000,1.450000,1.370000,1.250000,1.250000,140584
2015-02-18,1.130000,1.130000,1.130000,1.250000,1.250000,2841
2015-02-19,1.250000,1.250000,1.250000,1.250000,1.250000,0
2015-02-20,1.250000,1.250000,1.250000,1.250000,1.250000,0
2015-02-23,1.130000,1.130000,1.000000,1.000000,1.000000,212000
2015-02-24,1.400000,1.400000,1.130000,1.125000,1.125000,300000
2015-02-25,1.240000,1.500000,1.240000,1.375000,1.375000,192704
2015-02-26,1.150000,1.160000,1.150000,1.250000,1.250000,44925
2015-02-27,1.450000,1.450000,1.250000,1.250000,1.250000,141104
2015-03-02,1.150000,1.200000,1.125000,1.125000,1.125000,506363
2015-03-03,1.220000,1.220000,1.220000,1.125000,1.125000,96990
2015-03-04,1.250000,1.440000,1.250000,1.250000,1.250000,76387
2015-03-05,1.245000,1.375000,1.245000,1.375000,1.375000,74355
2015-03-06,1.375000,1.470000,1.375000,1.375000,1.375000,81600
2015-03-09,1.725000,1.725000,1.725000,1.375000,1.375000,100000
2015-03-10,1.500000,1.500000,1.500000,1.500000,1.500000,0
2015-03-11,1.500000,2.500000,1.500000,1.740000,1.740000,844692
2015-03-12,1.699000,1.700000,1.699000,1.750000,1.750000,33676
2015-03-13,1.550000,1.900000,1.550000,1.750000,1.750000,69750
2015-03-16,1.520000,1.520000,1.520000,1.750000,1.750000,15000
2015-03-17,1.850000,1.850000,1.520000,1.750000,1.750000,20044
2015-03-18,1.530000,1.540000,1.530000,1.625000,1.625000,134806
2015-03-19,1.525000,1.525000,1.501000,1.625000,1.625000,42630
